what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1327733200940
started,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1327733200965
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1327733246283
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1327733246300
started,bundle,com.google.gdt.eclipse.appsmarketplace,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.appsmarketplace",1327733879650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327733913752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327733916581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327733969884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327733988714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327734022530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1327734022547
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1327734024987
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327734025902
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327734026924
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327734029583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327734032096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327734033445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327734037417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327734040551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327734056267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327734056279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327734060227
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1327734061678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327734062790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327734074000
